Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-134.21122497,58.64426244,1109.66,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,RTK,2025-07-13 12:25:07.6 UTC-08:00,2025-07-13 12:26:07.6 UTC-08:00,301,1.6,1.9,,,,-134.2066388,58.64632175,1182.05,358.483,,Global CS,10,7,0,0,0
2,,,,,,-134.2147748,58.64555627,1115.514,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,RTK,2025-07-13 12:12:45.6 UTC-08:00,2025-07-13 12:13:45.6 UTC-08:00,300,1.3,1.4,,,,-134.2066388,58.64632175,1182.05,484.434,,Global CS,8,8,0,0,0
3,,,,,,-134.21343606,58.64308992,1110.269,Global,0.017,0.026,0.011,0.031,2.134,m,FIX,RTK,2025-07-13 12:30:01.2 UTC-08:00,2025-07-13 12:31:01.2 UTC-08:00,301,1.7,1.9,,,,-134.2066388,58.64632175,1182.05,538.83,,Global CS,10,8,0,0,0
4,,,,,,-134.2173282,58.64420483,1113.567,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,RTK,2025-07-13 12:22:55.2 UTC-08:00,2025-07-13 12:23:55.2 UTC-08:00,300,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,667.383,,Global CS,9,7,0,0,0
5,,,,,,-134.21603726,58.64190168,1109.951,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,RTK,2025-07-13 12:35:54.2 UTC-08:00,2025-07-13 12:36:54.2 UTC-08:00,301,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,738.468,,Global CS,10,8,0,0,0
6,,,,,,-134.2200918,58.64273972,1110.541,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,RTK,2025-07-13 12:32:19.0 UTC-08:00,2025-07-13 12:33:19.0 UTC-08:00,301,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,880.066,,Global CS,10,8,0,0,0
7,,,,,,-134.21923221,58.64037945,1107.761,Global,0.011,0.012,0.012,0.016,2.134,m,FIX,RTK,2025-07-13 12:43:18.4 UTC-08:00,2025-07-13 12:44:18.4 UTC-08:00,300,1.9,2.2,,,,-134.2066388,58.64632175,1182.05,989.163,,Global CS,9,8,0,0,0
8,,,,,,-134.2224925,58.64145038,1109.818,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 12:38:09.4 UTC-08:00,2025-07-13 12:39:09.4 UTC-08:00,301,1.8,2.2,,,,-134.2066388,58.64632175,1182.05,1071.097,,Global CS,10,8,0,0,0
9,,,,,,-134.22233984,58.63892514,1108.818,Global,0.01,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 12:48:50.2 UTC-08:00,2025-07-13 12:49:50.2 UTC-08:00,301,1.7,1.9,,,,-134.2066388,58.64632175,1182.05,1231.142,,Global CS,9,8,0,0,0
10,,,,,,-134.2249441,58.64012293,1109.798,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,RTK,2025-07-13 12:44:35.6 UTC-08:00,2025-07-13 12:45:35.6 UTC-08:00,301,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,1269.711,,Global CS,9,8,0,0,0
11,,,,,,-134.22463024,58.63780835,1109.433,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,RTK,2025-07-13 12:53:54.0 UTC-08:00,2025-07-13 12:54:54.0 UTC-08:00,301,1.6,1.9,,,,-134.2066388,58.64632175,1182.05,1412.981,,Global CS,10,7,0,0,0
12,,,,,,-134.2280358,58.63846967,1109.369,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 12:51:13.2 UTC-08:00,2025-07-13 12:52:13.2 UTC-08:00,300,1.7,1.9,,,,-134.2066388,58.64632175,1182.05,1521.4,,Global CS,9,8,0,0,0
13,,,,,,-134.22870642,58.63586297,1109.272,Global,0.011,0.013,0.012,0.017,2.134,m,FIX,RTK,2025-07-13 13:02:12.8 UTC-08:00,2025-07-13 13:03:12.8 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,1733.66,,Global CS,10,8,0,0,0
14,,,,,,-134.232683,58.63646876,1111.257,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,RTK,2025-07-13 13:00:11.0 UTC-08:00,2025-07-13 13:01:11.0 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,1870.283,,Global CS,10,8,0,0,0
15,,,,,,-134.23265685,58.63397598,1105.9,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 13:15:07.4 UTC-08:00,2025-07-13 13:16:07.4 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,2044.78,,Global CS,10,9,0,0,0
16,,,,,,-134.2371671,58.63442468,1110.593,Global,0.013,0.014,0.011,0.019,2.134,m,FIX,RTK,2025-07-13 13:08:02.6 UTC-08:00,2025-07-13 13:09:02.6 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,2214.906,,Global CS,10,9,0,0,0
17,,,,,,-134.23768264,58.63156691,1109.581,Global,0.011,0.013,0.011,0.017,2.134,m,FIX,RTK,2025-07-13 13:23:24.0 UTC-08:00,2025-07-13 13:24:24.0 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,2441.048,,Global CS,10,9,0,0,0
18,,,,,,-134.2428511,58.63172061,1116.377,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 13:26:33.6 UTC-08:00,2025-07-13 13:27:33.6 UTC-08:00,299,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,2659.805,,Global CS,10,9,0,0,0
19,,,,,,-134.2424673,58.62929218,1116.421,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 13:31:46.6 UTC-08:00,2025-07-13 13:32:46.6 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,2816.921,,Global CS,11,10,0,0,0
20,,,,,,-134.2471605,58.62967058,1122.607,Global,0.012,0.012,0.011,0.017,2.134,m,FLOAT,RTK,2025-07-13 13:58:44.8 UTC-08:00,2025-07-13 13:59:44.8 UTC-08:00,301,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,2997.52,,Global CS,12,8,0,0,0
21,,,,,,-134.24710523,58.62695054,1122.82,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:02:07.4 UTC-08:00,2025-07-13 14:03:07.4 UTC-08:00,301,1.5,1.8,,,,-134.2066388,58.64632175,1182.05,3191.636,,Global CS,11,8,0,0,0
22,,,,,,-134.2514374,58.62766624,1126.747,Global,0.011,0.011,0.011,0.016,2.134,m,FLOAT,RTK,2025-07-13 14:06:28.4 UTC-08:00,2025-07-13 14:07:28.4 UTC-08:00,300,1.5,1.7,,,,-134.2066388,58.64632175,1182.05,3330.862,,Global CS,11,7,0,0,0
23,,,,,,-134.25116942,58.6250491,1124.401,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:08:49.8 UTC-08:00,2025-07-13 14:09:49.8 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,3508.808,,Global CS,11,7,0,0,0
24,,,,,,-134.2560735,58.62559661,1126.962,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:13:00.6 UTC-08:00,2025-07-13 14:14:00.6 UTC-08:00,300,1.2,1.4,,,,-134.2066388,58.64632175,1182.05,3685.234,,Global CS,10,9,0,0,0
25,,,,,,-134.25634181,58.62268961,1126.298,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:17:11.8 UTC-08:00,2025-07-13 14:18:11.8 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,3907.933,,Global CS,9,9,0,0,0
26,,,,,,-134.2605773,58.62367165,1128.813,Global,0.013,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-07-13 14:19:08.4 UTC-08:00,2025-07-13 14:20:08.4 UTC-08:00,300,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,4023.528,,Global CS,9,9,0,0,0
27,,,,,,-134.26089986,58.62040209,1127.465,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:28:44.6 UTC-08:00,2025-07-13 14:29:44.6 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,4275.347,,Global CS,10,9,0,0,0
28,,,,,,-134.2665421,58.62110813,1129.063,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:30:33.4 UTC-08:00,2025-07-13 14:31:33.4 UTC-08:00,301,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,4472.6,,Global CS,10,9,0,0,0
29,,,,,,-134.26557418,58.61832588,1131.992,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-13 14:36:01.0 UTC-08:00,2025-07-13 14:37:01.0 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,4631.852,,Global CS,10,9,0,0,0
30,,,,,,-134.2710129,58.61920828,1131.696,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,RTK,2025-07-13 14:37:05.6 UTC-08:00,2025-07-13 14:38:05.6 UTC-08:00,300,1.4,1.7,,,,-134.2066388,58.64632175,1182.05,4807.688,,Global CS,10,9,0,0,0
31,,,,,,-134.26969793,58.61632369,1136.567,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,RTK,2025-07-13 14:43:15.6 UTC-08:00,2025-07-13 14:44:15.6 UTC-08:00,300,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,4959.208,,Global CS,11,9,0,0,0
