Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-134.26258716,58.83510380,1700.340,Global,0.010,0.011,0.011,0.015,1.934,m,FIX,2024-07-22 11:27:03.0 UTC-08:00,2024-07-22 11:29:03.0 UTC-08:00,601,1.4,1.7,,,,-134.27578696,58.83446195,1699.787,765.848,,Global CS,8,7,0,0,0
2,,,,,,-134.26252826,58.83329798,1686.847,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 11:45:01.6 UTC-08:00,2024-07-22 11:47:01.6 UTC-08:00,601,1.6,1.9,,,,-134.27578696,58.83446195,1699.787,776.896,,Global CS,7,8,0,0,0
3,,,,,,-134.26198426,58.83156585,1679.516,Global,0.012,0.012,0.013,0.016,1.934,m,FIX,2024-07-22 12:01:31.8 UTC-08:00,2024-07-22 12:03:31.8 UTC-08:00,601,1.6,1.8,,,,-134.27578696,58.83446195,1699.787,860.386,,Global CS,8,7,0,0,0
4,,,,,,-134.26121437,58.82973903,1675.961,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 12:19:48.6 UTC-08:00,2024-07-22 12:21:48.6 UTC-08:00,601,1.2,1.4,,,,-134.27578696,58.83446195,1699.787,993.041,,Global CS,9,8,0,0,0
5,,,,,,-134.26100208,58.82803178,1681.434,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 12:32:36.4 UTC-08:00,2024-07-22 12:34:36.4 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1699.787,1114.972,,Global CS,8,7,0,0,0
6,,,,,,-134.26040835,58.82625077,1684.626,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 12:45:33.4 UTC-08:00,2024-07-22 12:47:33.4 UTC-08:00,601,1.6,1.9,,,,-134.27578696,58.83446195,1699.787,1275.389,,Global CS,8,6,0,0,0
7,,,,,,-134.25603208,58.82660900,1698.104,Global,0.011,0.012,0.016,0.016,1.934,m,FIX,2024-07-22 13:24:07.0 UTC-08:00,2024-07-22 13:26:07.0 UTC-08:00,601,1.7,2.0,,,,-134.27578696,58.83446195,1699.787,1438.107,,Global CS,9,7,0,0,0
8,,,,,,-134.25603968,58.82868816,1700.766,Global,0.011,0.011,0.011,0.015,1.934,m,FIX,2024-07-22 13:39:22.8 UTC-08:00,2024-07-22 13:41:22.8 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1699.787,1309.719,,Global CS,9,6,0,0,0
9,,,,,,-134.25625282,58.83059055,1699.279,Global,0.011,0.011,0.012,0.016,1.934,m,FIX,2024-07-22 13:46:49.0 UTC-08:00,2024-07-22 13:48:49.0 UTC-08:00,601,1.4,1.6,,,,-134.27578696,58.83446195,1699.787,1208.114,,Global CS,8,8,0,0,0
10,,,,,,-134.25740024,58.83239371,1697.744,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 13:53:14.0 UTC-08:00,2024-07-22 13:55:14.0 UTC-08:00,601,1.6,1.8,,,,-134.27578696,58.83446195,1699.787,1086.873,,Global CS,8,8,0,0,0
11,,,,,,-134.25855005,58.83416318,1700.903,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 14:02:18.6 UTC-08:00,2024-07-22 14:04:18.6 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1699.787,996.278,,Global CS,7,8,0,0,0
12,,,,,,-134.25850875,58.83581336,1710.776,Global,0.011,0.011,0.013,0.016,1.934,m,FIX,2024-07-22 14:18:37.0 UTC-08:00,2024-07-22 14:20:37.0 UTC-08:00,601,1.6,1.8,,,,-134.27578696,58.83446195,1699.787,1009.460,,Global CS,7,8,0,0,0
13,,,,,,-134.25472972,58.83528587,1713.297,Global,0.013,0.013,0.013,0.018,1.934,m,FIX,2024-07-22 14:26:30.8 UTC-08:00,2024-07-22 14:28:30.8 UTC-08:00,601,1.7,2.0,,,,-134.27578696,58.83446195,1699.787,1219.937,,Global CS,7,7,0,0,0
14,,,,,,-134.25398827,58.83374181,1710.657,Global,0.014,0.013,0.012,0.019,1.934,m,FIX,2024-07-22 14:34:00.8 UTC-08:00,2024-07-22 14:36:00.8 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1699.787,1261.854,,Global CS,8,7,0,0,0
15,,,,,,-134.25338652,58.83219276,1709.569,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-22 14:42:24.4 UTC-08:00,2024-07-22 14:44:24.4 UTC-08:00,601,1.4,1.6,,,,-134.27578696,58.83446195,1699.787,1318.558,,Global CS,8,7,0,0,0
