1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/21/23 3:13:00 PM,C,22
7/21/23 3:14:00 PM,C,22
7/21/23 3:15:00 PM,C,19.5
7/21/23 3:16:00 PM,C,18.5
7/21/23 3:17:00 PM,C,18
7/21/23 3:18:00 PM,C,17.5
7/21/23 3:19:00 PM,C,17
7/21/23 3:20:00 PM,C,16.5
7/21/23 3:21:00 PM,C,16.5
7/21/23 3:22:00 PM,C,16
7/21/23 3:23:00 PM,C,16
7/21/23 3:24:00 PM,C,15.5
7/21/23 3:25:00 PM,C,15.5
7/21/23 3:26:00 PM,C,15.5
7/21/23 3:27:00 PM,C,15.5
7/21/23 3:28:00 PM,C,15
7/21/23 3:29:00 PM,C,14.5
7/21/23 3:30:00 PM,C,14.5
7/21/23 3:31:00 PM,C,14
7/21/23 3:32:00 PM,C,13.5
7/21/23 3:33:00 PM,C,12.5
7/21/23 3:34:00 PM,C,12
7/21/23 3:35:00 PM,C,11.5
7/21/23 3:36:00 PM,C,11
7/21/23 3:37:00 PM,C,11
7/21/23 3:38:00 PM,C,10.5
7/21/23 3:39:00 PM,C,10.5
7/21/23 3:40:00 PM,C,10
7/21/23 3:41:00 PM,C,9.5
7/21/23 3:42:00 PM,C,9
7/21/23 3:43:00 PM,C,8.5
7/21/23 3:44:00 PM,C,8
7/21/23 3:45:00 PM,C,8
7/21/23 3:46:00 PM,C,7
7/21/23 3:47:00 PM,C,6.5
7/21/23 3:48:00 PM,C,6
7/21/23 3:49:00 PM,C,5.5
7/21/23 3:50:00 PM,C,5
7/21/23 3:51:00 PM,C,4.5
7/21/23 3:52:00 PM,C,4.5
7/21/23 3:53:00 PM,C,4.5
7/21/23 3:54:00 PM,C,4.5
7/21/23 3:55:00 PM,C,4.5
7/21/23 3:56:00 PM,C,4.5
7/21/23 3:57:00 PM,C,5
7/21/23 3:58:00 PM,C,5
7/21/23 3:59:00 PM,C,5
7/21/23 4:00:00 PM,C,5
7/21/23 4:01:00 PM,C,5.5
7/21/23 4:02:00 PM,C,5.5
7/21/23 4:03:00 PM,C,5.5
7/21/23 4:04:00 PM,C,5.5
7/21/23 4:05:00 PM,C,5.5
7/21/23 4:06:00 PM,C,5.5
7/21/23 4:07:00 PM,C,5.5
7/21/23 4:08:00 PM,C,5.5
7/21/23 4:09:00 PM,C,5.5
7/21/23 4:10:00 PM,C,6
7/21/23 4:11:00 PM,C,6
7/21/23 4:12:00 PM,C,6
7/21/23 4:13:00 PM,C,6
7/21/23 4:14:00 PM,C,6
7/21/23 4:15:00 PM,C,6
7/21/23 4:16:00 PM,C,6
7/21/23 4:17:00 PM,C,6
7/21/23 4:18:00 PM,C,6
7/21/23 4:19:00 PM,C,6
7/21/23 4:20:00 PM,C,6
7/21/23 4:21:00 PM,C,6
7/21/23 4:22:00 PM,C,6
7/21/23 4:23:00 PM,C,6.5
7/21/23 4:24:00 PM,C,6.5
7/21/23 4:25:00 PM,C,6.5
7/21/23 4:26:00 PM,C,6.5
7/21/23 4:27:00 PM,C,6.5
7/21/23 4:28:00 PM,C,6.5
7/21/23 4:29:00 PM,C,6.5
